name,degree,role,advisor,description,image,linkedin,twitter,scholar,github,category,researchAreas,email
Biraaj Rout,Ph.D. in Computer Science.,PHD Candidate,Dr. Jacob Luber,"Expert in AI and machine learning.
5+ years of experience in the field.
Published 10+ research papers in top journals.
Works on cutting-edge AI research projects.",veerla.jpg,https://linkedin.com/in/alicejohnson,https://twitter.com/alicejohnson,https://scholar.google.com/alicejohnson,https://github.com/alicejohnson,Post Doc,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Jai Prakash Veerla,Ph.D in Computer Science.,Developer,Dr. Jacob Luber,,veerla.jpg,https://linkedin.com/in/bobsmith,https://twitter.com/bobsmith,https://scholar.google.com/bobsmith,https://github.com/bobsmith,Post Doc,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Dave Brown,Ph.D. in Physics,Researcher,Dr. Miller,"Expert in quantum computing.
10+ years of experience in physics research.
Published 15+ research papers on quantum computing.
Collaborates with leading scientists in the field.",veerla.jpg,https://linkedin.com/in/davebrown,https://twitter.com/davebrown,https://scholar.google.com/davebrown,https://github.com/davebrown,PhD,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Eva Green,M.Sc. in Mathematics,Research Assistant,Dr. Clark,"Focuses on data analysis and algorithms.
3+ years of experience in mathematics research.
Published 5+ research papers in the field.
Specializes in developing efficient algorithms.",biraaj_luber_lab.jpg,https://linkedin.com/in/evagreen,https://twitter.com/evagreen,https://scholar.google.com/evagreen,https://github.com/evagreen,Masters,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Dave Brown,Ph.D. in Physics,Researcher,Dr. Miller,"Expert in quantum computing.
10+ years of experience in physics research.
Published 15+ research papers on quantum computing.
Collaborates with leading scientists in the field.",veerla.jpg,https://linkedin.com/in/davebrown,https://twitter.com/davebrown,https://scholar.google.com/davebrown,https://github.com/davebrown,PhD,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Dave Brown,Ph.D. in Physics,Researcher,Dr. Miller,"Expert in quantum computing.
10+ years of experience in physics research.
Published 15+ research papers on quantum computing.
Collaborates with leading scientists in the field.",veerla.jpg,https://linkedin.com/in/davebrown,https://twitter.com/davebrown,https://scholar.google.com/davebrown,https://github.com/davebrown,PhD,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Eva Green,M.Sc. in Mathematics,Research Assistant,Dr. Clark,"Focuses on data analysis and algorithms.
3+ years of experience in mathematics research.
Published 5+ research papers in the field.
Specializes in developing efficient algorithms.",biraaj_luber_lab.jpg,https://linkedin.com/in/evagreen,https://twitter.com/evagreen,https://scholar.google.com/evagreen,https://github.com/evagreen,Masters,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Dave Brown,Ph.D. in Physics,Researcher,Dr. Miller,"Expert in quantum computing.
10+ years of experience in physics research.
Published 15+ research papers on quantum computing.
Collaborates with leading scientists in the field.",veerla.jpg,https://linkedin.com/in/davebrown,https://twitter.com/davebrown,https://scholar.google.com/davebrown,https://github.com/davebrown,PhD,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Eva Green,M.Sc. in Mathematics,Research Assistant,Dr. Clark,"Focuses on data analysis and algorithms.
3+ years of experience in mathematics research.
Published 5+ research papers in the field.
Specializes in developing efficient algorithms.",biraaj_luber_lab.jpg,https://linkedin.com/in/evagreen,https://twitter.com/evagreen,https://scholar.google.com/evagreen,https://github.com/evagreen,Masters,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Jacob Luber,Ph.D. in Computer Science.,PHD,Dr. XYZ,"Expert in AI and machine learning.
10+ years of experience in the field.
Published 20+ research papers in top journals.
Leads a team of researchers in advanced AI projects.",veerla.jpg,https://linkedin.com/in/alicejohnson,https://twitter.com/alicejohnson,https://scholar.google.com/alicejohnson,https://github.com/alicejohnson,Lead,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Dave Brown,Ph.D. in Physics,Researcher,Dr. Miller,"Expert in quantum computing.
10+ years of experience in physics research.
Published 15+ research papers on quantum computing.
Collaborates with leading scientists in the field.",veerla.jpg,https://linkedin.com/in/davebrown,https://twitter.com/davebrown,https://scholar.google.com/davebrown,https://github.com/davebrown,PhD,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Eva Green,M.Sc. in Mathematics,Research Assistant,Dr. Clark,"Focuses on data analysis and algorithms.
3+ years of experience in mathematics research.
Published 5+ research papers in the field.
Specializes in developing efficient algorithms.",biraaj_luber_lab.jpg,https://linkedin.com/in/evagreen,https://twitter.com/evagreen,https://scholar.google.com/evagreen,https://github.com/evagreen,Masters,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Dave Brown,Ph.D. in Physics,Researcher,Dr. Miller,"Expert in quantum computing.
10+ years of experience in physics research.
Published 15+ research papers on quantum computing.
Collaborates with leading scientists in the field.",veerla.jpg,https://linkedin.com/in/davebrown,https://twitter.com/davebrown,https://scholar.google.com/davebrown,https://github.com/davebrown,PhD,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Eva Green,M.Sc. in Mathematics,Research Assistant,Dr. Clark,"Focuses on data analysis and algorithms.
3+ years of experience in mathematics research.
Published 5+ research papers in the field.
Specializes in developing efficient algorithms.",biraaj_luber_lab.jpg,https://linkedin.com/in/evagreen,https://twitter.com/evagreen,https://scholar.google.com/evagreen,https://github.com/evagreen,Masters,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Dave Brown,Ph.D. in Physics,Researcher,Dr. Miller,"Expert in quantum computing.
10+ years of experience in physics research.
Published 15+ research papers on quantum computing.
Collaborates with leading scientists in the field.",veerla.jpg,https://linkedin.com/in/davebrown,https://twitter.com/davebrown,https://scholar.google.com/davebrown,https://github.com/davebrown,PhD,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Eva Green,M.Sc. in Mathematics,Research Assistant,Dr. Clark,"Focuses on data analysis and algorithms.
3+ years of experience in mathematics research.
Published 5+ research papers in the field.
Specializes in developing efficient algorithms.",biraaj_luber_lab.jpg,https://linkedin.com/in/evagreen,https://twitter.com/evagreen,https://scholar.google.com/evagreen,https://github.com/evagreen,Masters,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Dave Brown,Ph.D. in Physics,Researcher,Dr. Miller,"Expert in quantum computing.
10+ years of experience in physics research.
Published 15+ research papers on quantum computing.
Collaborates with leading scientists in the field.",veerla.jpg,https://linkedin.com/in/davebrown,https://twitter.com/davebrown,https://scholar.google.com/davebrown,https://github.com/davebrown,PhD,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
Eva Green,M.Sc. in Mathematics,Research Assistant,Dr. Clark,"Focuses on data analysis and algorithms.
3+ years of experience in mathematics research.
Published 5+ research papers in the field.
Specializes in developing efficient algorithms.",biraaj_luber_lab.jpg,https://linkedin.com/in/evagreen,https://twitter.com/evagreen,https://scholar.google.com/evagreen,https://github.com/evagreen,Masters,Maths, Science, Ergonomics,jwx6663@myms.uta.edu
